index,status,end_date,start_date,years_to_event,event_indicator,total_liabilities_by_net_assets,cash_by_total_assets,cash_by_current_liabilities,current_assets_by_current_liabilities,tax,EBTIDA,financial_expenses_by_total_assets,EBIT,working_capital_by_total_assets,size_classification,income_tax_by_total_assets,sector,cooperative,nonprofit,other,private,public
11.0,Merger by absorption,2022-09-30,2006-06-21,16,0,1934.9546609077636,0.0001555998046837843,0.00032394645120405576,2.075953210815378,1839333.3333333333,6785666.666666667,0.000691216477586196,6576333.333333333,0.3378843702637403,Very large,0.034992041498354394,"M - Professional, scientific and technical activities",0,0,0,1,0
12.0,Bankruptcy,2020-08-03,1987-12-29,33,2,19510.99341999679,2.336045009993995e-05,3.606623996748959e-05,1.0797648074773951,43333.333333333336,4677000.0,0.0254044894836847,183666.66666666666,0.3313235669104159,Very large,0.0005346581889070764,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0,0,0,1,0
13.0,Merger by absorption,2019-07-01,1921-06-04,98,0,4708.084381818553,0.0001805907620741966,0.0004561751407947965,1.536609382308132,62000.0,11630333.333333334,0.0008186079550068813,427333.3333333333,-0.03315253936302339,Very large,0.00020140354448582,C - Manufacturing,0,0,0,0,1
14.0,Merger by absorption,2022-10-01,1992-07-29,30,0,4388.817362516093,3.6878719302656947e-06,7.194076565529162e-06,1.4444911592273375,912666.6666666666,13750333.333333334,0.0008860471520768228,11992333.333333334,-0.029401199755738353,Very large,0.016391872313421218,J - Information and communication,0,0,0,0,1
15.0,Merger by absorption,2021-06-30,1969-11-26,52,0,4035.8065706902917,2.926918503612915e-06,4.9092303758629505e-06,1.4198414727691127,8666.666666666666,663000.0,0.006422960049595008,2000.0,0.47354085998556866,Very large,0.00026423569824283257,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0,0,0,0,1
16.0,Liquidation,2020-10-13,1992-03-26,28,4,81667.65799256506,1.6760285134237045e-05,1.951307407760713e-05,1.0142452860186333,84000.0,-7397000.0,0.02397057618601094,-8089666.666666667,0.04188705698132789,Very large,0.002294183516473512,"M - Professional, scientific and technical activities",0,0,0,0,1
17.0,Merger by absorption,2022-04-01,2004-04-26,18,0,1903.775870669558,5.188068832016085e-05,0.00026115044009582516,3.6440472665607926,4000.0,2751000.0,0.000700512283028352,-566333.3333333334,0.47238591275146247,Very large,6.416906409420018e-05,"D - Electricity, gas, steam and air conditioning supply",0,0,0,0,1
18.0,Demerger,2019-06-25,1993-03-22,26,5,11426.776599921477,1.2907733186732637e-05,2.0951460281459726e-05,1.1420683757505905,219333.33333333334,1615333.3333333333,0.004546912222833059,576000.0,0.32622090892431743,Very large,0.007536192046912223,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,1,0,0,0,0
19.0,Merger by absorption,2021-04-01,1973-12-13,48,0,3796.6943346986113,7.985908904312297e-05,0.00012279620087784972,1.4050146063622084,971000.0,3585000.0,0.011809407429329719,3366333.3333333335,0.29581754131383237,Very large,0.027809865676343956,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0,0,0,0,1
20.0,Merger by absorption,2019-09-26,1984-03-28,35,0,12962.229497724187,5.1415053657454756e-05,6.792544966224465e-05,1.1019125905428502,885333.3333333334,2935333.3333333335,0.005150129985338148,1941000.0,0.11912447790249253,Very large,0.016362135455811146,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0,0,0,1,0
21.0,Merger by absorption,2021-02-19,1989-12-29,32,0,11600.915965491533,2.5982133840122657e-06,3.3459446677701583e-06,1.111019153464176,166333.33333333334,1128000.0,0.004085529879453916,18000.0,0.319029388272234,Very large,0.004581302044601133,J - Information and communication,0,0,0,0,1
22.0,Merger by absorption,2019-07-01,1954-12-06,65,0,1803.3263557491032,0.00045200842036114986,0.0014505437907244155,2.7795371789957843,6961666.666666667,14829000.0,0.3785430087861392,11909333.333333334,0.21992221616739202,Very large,0.07795179193944507,C - Manufacturing,0,0,0,0,1
23.0,Merger by absorption,2019-12-27,2016-09-14,3,0,2502.5736195244936,4.323431881462411e-06,8.289960830605784e-06,1.7661640822020712,276666.6666666667,1838333.3333333333,0.046718249359880226,1272333.3333333333,0.28635390577996667,Large,0.011613101817520392,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0,0,0,0,1
24.0,Bankruptcy,2020-06-09,2002-03-18,18,2,-6341.11631870473,0.0003039791434292395,0.0003215397518088388,0.8332030306045571,5500.0,-2485666.6666666665,0.02116565653850806,-4332666.666666667,-0.08962143711448269,Very large,0.0002217354494510368,H - Transportation and storage,0,0,0,0,1
25.0,Merger by absorption,2020-11-18,1948-11-12,72,0,2481.823031781114,0.0002615157843016828,0.00047883047511948273,1.7377565364070846,522666.6666666666,1732000.0,0.011761454366785409,1678666.6666666667,0.44030217418007617,Large,0.04815133276010318,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0,0,0,0,1
26.0,Bankruptcy,2020-03-12,1975-12-03,45,2,-48246.66426253155,0.00025571800161449456,0.0002918365606073531,0.9763541755523331,460000.0,3577000.0,0.012407689777857507,1210000.0,0.41538105061739466,Large,0.010314826441833349,C - Manufacturing,0,0,0,1,0
27.0,Bankruptcy,2021-02-19,1950-11-24,71,2,-9839.649321266967,6.634955307102004e-05,7.349921199675248e-05,0.8874190107773374,6333.333333333333,-4456333.333333333,0.013450981519271118,-6367000.0,0.13675164544592303,Large,0.0002730434282758026,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0,0,0,1,0
28.0,Merger by absorption,2022-10-28,1981-09-03,41,0,-4313.906111603188,4.8291721419185284e-05,8.527918781725888e-05,0.5906453952139231,0.0,1201000.0,0.023242444152431013,179333.33333333334,-0.12270039421813404,Large,0.0,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0,0,0,0,1
29.0,Bankruptcy,2020-11-10,1983-05-27,37,2,11789.446417998815,3.166372670261583e-05,3.6559997100713946e-05,1.0979378827963613,165000.0,548666.6666666666,0.005869465596143103,-2101333.3333333335,0.06485288670989774,Large,0.0031073641391345837,J - Information and communication,0,0,0,1,0
30.0,Merger by absorption,2020-06-30,1990-10-22,30,0,3915.589521023996,0.0002035195656364454,0.0003253887740295096,1.4083186727106956,624333.3333333334,2724666.6666666665,0.006288954571740666,2105333.3333333335,0.41127192700636117,Large,0.015043693375313243,C - Manufacturing,0,0,0,0,1
31.0,Merger by absorption,2020-05-29,2015-06-04,5,0,4474.106364428945,9.93998207256713e-05,0.00013432521395655034,1.3020144832126397,240000.0,1742666.6666666667,0.08583732803304883,1680000.0,-0.15468256752016837,Large,0.01403016485443704,C - Manufacturing,0,0,0,0,1
32.0,Merger by absorption,2022-03-31,1989-12-18,33,0,3818.638371785674,2.3049768117948365e-05,3.927548441449031e-05,1.446234203875316,2730333.3333333335,9315666.666666666,0.012597771163563372,6734333.333333333,0.25743357493893937,Large,0.0809955601261755,"M - Professional, scientific and technical activities",0,0,0,0,1
33.0,Merger by absorption,2020-07-24,2012-06-01,8,0,3418.651076572081,1.7580813347236703e-05,3.089156803107479e-05,1.5140532815420131,238333.33333333334,1341666.6666666667,0.012992700729927005,780666.6666666666,0.5965589155370177,Large,0.014911366006256517,C - Manufacturing,0,0,0,0,1
34.0,Merger by absorption,2021-07-30,1989-04-24,32,0,6439.266824730987,0.000309737583731041,0.00037225550600810157,1.1866255914490929,482000.0,1493000.0,0.0007788934048971152,1391333.3333333333,0.49282001897667566,Large,0.010238907849829351,L - Real estate activities,0,0,0,0,1
35.0,Merger by absorption,2022-09-28,1987-10-30,35,0,2003.6602398420318,1.6224661485457896e-05,3.56394867913902e-05,2.096323412942853,323000.0,2574666.6666666665,0.016793526159762838,2225000.0,0.3143097508212483,Large,0.007763800977485778,C - Manufacturing,0,0,0,0,1
36.0,Merger by absorption,2020-07-02,1994-12-13,26,0,8522.979256080114,0.00020416277630322803,0.00025024431642835097,1.1447896306964302,875333.3333333334,3722666.6666666665,0.033360959284942454,2760333.3333333335,0.23570881547612801,Large,0.027549018579326696,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0,0,0,0,1
37.0,Merger by absorption,2020-07-01,2012-12-20,8,0,-9654.860186418107,0.00039024659347934023,0.000471505698860228,1.0731187095914152,166333.33333333334,2108666.6666666665,0.003944392342913885,1713333.3333333333,0.10037513102002538,Very large,0.01376399845534286,"M - Professional, scientific and technical activities",0,0,0,1,0
38.0,Merger by absorption,2022-08-30,1983-11-23,39,0,-32038.320653705272,1.6283508056005062e-05,9.283261049412118e-05,1.095314497731204,686333.3333333334,3119000.0,0.00933564342503342,2108666.6666666665,0.014854358685710264,Large,0.009054210933652291,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0,0,0,0,1
39.0,Merger by absorption,2021-10-01,1989-03-20,32,0,5207.982622861798,1.4467441739221104e-06,2.4789512472921368e-06,1.3290305290662618,707333.3333333334,3631333.3333333335,0.001616182680777853,2019666.6666666667,0.1554011782493092,Large,0.02765757781137584,C - Manufacturing,0,0,0,0,1
40.0,Merger by absorption,2021-09-29,1989-01-04,32,0,3143.3267850699594,0.0001223024335493087,0.0001878796191073318,1.4887534778008542,218000.0,1082666.6666666667,0.006683332483036579,876333.3333333334,0.19621447885311974,Large,0.00834141115249222,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0,0,0,0,1
41.0,Merger by absorption,2022-09-28,2010-11-29,12,0,6140.694568121105,0.00010533642691415313,0.00013729492704316927,1.2122552355031375,232666.66666666666,1313000.0,0.009367749419953596,1122000.0,0.18590487238979117,Large,0.02024361948955916,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0,0,0,0,1
42.0,Merger by absorption,2022-07-29,2000-09-21,22,0,27896.267571497818,6.260642919200696e-05,7.541127715685044e-05,1.0431788689354935,109000.0,751666.6666666666,0.001476976542137272,633333.3333333334,0.464847958297133,Large,0.005682015638575152,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0,0,0,0,1
43.0,Merger by absorption,2019-12-31,1983-12-23,37,0,7291.693705386113,4.2302614989839655e-05,7.02930520296749e-05,1.2278855396445911,274666.6666666667,1794000.0,0.022886723327251963,-447000.0,0.4449784185467005,Large,0.012222073896082708,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0,0,0,0,1
44.0,Merger by absorption,2019-06-14,1948-06-28,71,0,-14529.200652528549,8.488278092158448e-06,1.2855393823969527e-05,1.2018432866276696,246333.33333333334,766000.0,0.004423785143267763,501333.3333333333,0.3721368903260577,Large,0.01659480822779125,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0,0,0,0,1
45.0,Merger by absorption,2021-12-23,1995-02-23,26,0,12447.232947232947,2.386737665649934e-05,3.814796452377018e-05,1.1284636148295046,160000.0,1511666.6666666667,0.00927122645573765,648000.0,0.14599596753347463,Large,0.008271726205862586,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0,0,0,0,1
46.0,Merger by absorption,2020-07-24,2015-04-16,5,0,83737.43016759776,3.0855961038094604e-06,3.1785303163067195e-06,1.0123017713863547,165666.66666666666,608000.0,0.003952898792447796,526333.3333333334,0.25171792647941826,Large,0.00828941223563947,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0,0,0,0,1
47.0,Bankruptcy,2022-09-15,1991-10-17,31,2,2375.2792256142966,2.243854149480284e-06,3.91987318057357e-06,1.7354662055051162,50333.333333333336,1020333.3333333334,0.08566243194192379,827666.6666666666,0.7041742286751361,Large,0.0024913380630259036,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0,0,0,1,0
48.0,Merger by absorption,2021-12-15,1953-08-04,68,0,1905.0765762263854,3.060599877576005e-08,7.196142867423061e-08,2.234186476048838,-3000.0,-1512333.3333333333,0.005498877780044889,-1773666.6666666667,0.04082840236686391,Large,-9.181799632728015e-05,H - Transportation and storage,0,0,0,0,1
49.0,Merger by absorption,2019-06-07,1996-04-12,23,0,-76008.84955752213,5.530329491209687e-05,6.124290871583291e-05,0.9872356884992264,28333.333333333332,172333.33333333334,0.007218535335894749,114333.33333333333,0.12224938875305623,Large,0.004948189544766561,C - Manufacturing,0,0,0,0,1
50.0,Merger by absorption,2021-12-24,1981-12-16,40,0,31423.78313253012,2.492088334597308e-05,0.00015878809199243658,1.2119226653767792,-97333.33333333333,-329666.6666666667,0.009375141382438442,-12600000.0,0.02316639917428822,Very large,-0.00022391144149125017,"M - Professional, scientific and technical activities",0,0,0,0,1
51.0,Merger by absorption,2020-12-31,2005-03-14,16,0,2021.4787277984303,5.405712209962312e-05,0.00012646059060973018,2.157265774378585,35333.333333333336,716333.3333333334,0.0022476501838986514,478666.6666666667,0.4468056123143986,Large,0.002406574944376334,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0,0,0,0,1
52.0,Merger by absorption,2021-07-27,2008-04-26,13,0,1791.364861022732,8.040842856279099e-05,0.0002583912177587798,2.7938747753436637,3377333.3333333335,11795333.333333334,0.014405344942257694,11377666.666666666,0.179174980349477,Large,0.07657657657657659,C - Manufacturing,0,0,0,0,1
53.0,Merger by absorption,2019-01-01,1990-12-04,29,0,-8072.649751285374,0.00011954101552386573,0.00020842888355212077,0.7861721529044258,1000.0,7165000.0,7.249303549051896e-05,1633333.3333333333,-0.000667971541305496,Very large,1.5534221890825488e-05,H - Transportation and storage,0,0,0,0,1
54.0,Liquidation,2021-12-29,2007-02-14,14,4,-101547.16981132075,0.0002382943143812709,0.00027947265199389844,0.9884506428415777,0.0,-57666.666666666664,0.016257896692679304,-132333.33333333334,0.1607209215904868,Large,0.0,C - Manufacturing,0,0,0,0,1
55.0,End of suspension,2022-04-14,2007-01-02,15,6,21509.122502172024,0.00010263763783980288,0.00011994335614821807,1.0709936275666745,128000.0,428000.0,0.0028274831360827236,304333.3333333333,0.14315143191824534,Large,0.015510764632225229,"D - Electricity, gas, steam and air conditioning supply",0,0,0,1,0
56.0,Legal dissolution by expiry,2019-12-22,1989-03-20,30,7,1909.9078685233999,0.00028781795598933695,0.005367148954499178,18.647632939149506,1221333.3333333333,3349000.0,0.013611723857710265,3339666.6666666665,0.0014588677002806444,Large,0.001923458529625146,"M - Professional, scientific and technical activities",0,0,0,0,1
57.0,Merger by absorption,2021-06-29,1976-10-29,45,0,1264.0987614734058,1.5219734922950093e-06,8.047390186654745e-06,5.18805186095898,1136666.6666666667,4358333.333333333,0.014289640010992031,4210666.666666667,0.4676263555076416,Large,0.03604117783837487,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0,0,0,1,0
58.0,Merger by absorption,2019-07-30,1965-07-26,54,0,9084.89035120368,2.974322501773942e-06,1.617070563079116e-05,1.598458660014255,1757333.3333333333,23192333.333333332,0.05335426557176639,4823000.0,-0.04355784688548285,Large,0.008639464589174778,J - Information and communication,0,0,0,1,0
59.0,Merger by absorption,2019-01-21,1979-02-01,40,0,6456.87843921961,2.072470617402555e-05,7.222702235662598e-05,1.5397181121071388,1702000.0,5822666.666666667,0.008026465643473072,4911000.0,0.26837526051149346,Large,0.03955900924283157,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0,0,0,0,1
60.0,Merger by absorption,2021-12-31,1949-01-20,73,0,7578.99356348742,3.821656050955414e-06,4.482883535591379e-06,1.1548179677594639,9666.666666666666,115666.66666666667,0.009496236247828605,73333.33333333333,0.38262883613202087,Large,0.0011194750048253233,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0,0,0,0,1
61.0,Merger by absorption,2018-12-31,1997-06-30,22,0,2786.382162550947,0.0002694028566511788,0.00043022030870700314,1.573123253790134,787666.6666666666,2396000.0,0.0032122985143119374,2379333.3333333335,0.4731830436528423,Large,0.06777376240463488,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0,0,0,1,0
62.0,Merger by absorption,2022-01-31,2004-04-08,18,0,2460.689397128291,8.726146126359006e-05,0.00017361872707332752,1.862231970653859,1014333.3333333334,3799000.0,0.006956587850680453,3106333.3333333335,0.31371170075268,Large,0.057838515927925195,F - Construction,0,0,0,1,0
63.0,Merger by absorption,2019-07-01,1993-07-20,26,0,-14896.14063447161,9.866930725302151e-05,0.00014829765545361874,0.8991233435270132,838666.6666666666,2869666.6666666665,0.006171918449288533,2493000.0,0.2985716417303075,Large,0.034128674326175716,C - Manufacturing,0,0,0,0,1
64.0,Merger by absorption,2022-09-30,1981-12-22,41,0,-53877.04918032787,0.00047867538921852023,0.0005132401718231744,0.9800445870262628,113333.33333333333,957000.0,0.0005071251077640854,793333.3333333334,0.245651402200923,Very large,0.017242253663978902,T - Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0,0,0,1,0
65.0,Merger by absorption,2021-09-01,1967-04-12,54,0,-11958.378672470077,4.6786020306801034e-06,1.0162902933570522e-05,0.8183525226071058,663666.6666666666,2278333.3333333335,0.0026843194795150025,1338000.0,-0.010593204273679262,Large,0.015097401366424774,C - Manufacturing,0,0,0,0,1
66.0,Merger by absorption,2021-07-31,1988-12-02,33,0,1368.561953780787,5.430543811603165e-05,0.00026667079821517104,4.588125929598413,256000.0,1282333.3333333333,0.0041899617602887546,767666.6666666666,0.5063669750242943,Large,0.009692441662354709,F - Construction,0,0,0,0,1
67.0,Merger by absorption,2019-12-02,1986-12-08,33,0,2345.3934740882914,9.840828184459266e-05,0.00023543808125305922,2.020068526676456,772666.6666666666,2804333.3333333335,0.021318384549285977,2743333.3333333335,0.46628339948443065,Large,0.04742419902614673,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0,0,0,0,1
68.0,Merger by absorption,2019-03-29,2003-03-28,16,0,6320.771891498271,8.032834101382488e-05,0.00011189568706118354,1.2624272818455364,203000.0,626333.3333333334,0.007574884792626728,506333.3333333333,0.6198156682027649,Large,0.01754032258064516,N - Administrative and support service activities,0,0,0,0,1
69.0,Liquidation,2020-10-13,1981-07-14,39,4,1588.1383361304242,2.6003434415866247e-05,0.00012179600494961993,3.9492663956160508,359000.0,451000.0,0.008453946747683657,-137333.33333333334,0.41056365935123507,Large,0.020323438944766292,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0,0,0,1,0
70.0,Merger by absorption,2021-07-31,1989-12-22,32,0,1142.1550400129336,8.950005661872947e-05,0.0009971613310203438,10.754612837091942,233333.33333333334,959000.0,0.002491224096931265,581000.0,0.36746970897973047,Large,0.00990827765824935,C - Manufacturing,0,0,0,0,1
71.0,End of suspension,2020-03-19,1967-02-15,53,6,26311.853619729514,3.7491685311725227e-06,4.504013657331736e-06,1.0456576223166612,155666.66666666666,768000.0,0.012774384713067669,636666.6666666666,0.3175152687911955,Large,0.0070599262260385804,F - Construction,0,0,0,1,0
72.0,Merger by absorption,2022-05-20,1988-03-14,34,0,-11768.161969035333,3.42396437727702e-05,5.34857985983032e-05,0.8673130631817463,131666.66666666666,784666.6666666666,0.00863581163135879,463000.0,0.40686142221022803,Large,0.013324787478073133,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0,0,0,1,0
73.0,Merger by absorption,2020-10-30,1990-12-28,30,0,1685.237258347979,0.00033048284492647823,0.0011146676046429828,3.0012310939148787,623666.6666666666,1983666.6666666667,0.0027635832724997394,1928666.6666666667,0.41057461674835743,Large,0.0975597038273021,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0,0,0,0,1
74.0,Merger by absorption,2021-06-30,2002-09-30,19,0,2425.3964440172995,5.275149834068057e-05,0.00010440152926183707,1.8159004019213802,93333.33333333333,431666.6666666667,0.009262469661696963,287666.6666666667,0.3162117985041359,Large,0.013868938530883152,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0,0,0,0,1
75.0,Merger by absorption,2019-07-01,1985-03-21,34,0,4367.519354743752,1.2738510066118934e-06,1.6522134414994057e-06,1.2969700678369118,446000.0,4375000.0,4.717966691155161e-05,4375000.0,0.004273129831703388,Large,0.009018056332522293,F - Construction,0,0,0,0,1
76.0,Merger by absorption,2021-06-28,1970-08-31,51,0,-1724.8468076694999,4.503781801512721e-05,2.9230197099293415e-05,0.623726292301971,6333.333333333333,-967333.3333333334,0.008766903506761403,-1096666.6666666667,0.13517075406830165,Large,0.0010887004354801742,H - Transportation and storage,0,0,0,0,1
77.0,Merger by absorption,2022-06-30,2009-10-25,13,0,2406.5492148602066,0.0001008196069069786,0.00018773151578011557,1.7737442584086534,121666.66666666667,501000.0,0.0038195273334924802,457333.3333333333,0.38067955757141725,Large,0.029044322431765735,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0,0,0,0,1
78.0,Merger by absorption,2021-07-01,2001-05-02,20,0,2798.548493512206,4.691552062868369e-05,8.205809584898744e-05,1.6249885457710989,662000.0,2407333.3333333335,0.003510150622134905,2225666.6666666665,0.5770792403405369,Large,0.052023575638506875,F - Construction,0,0,0,0,1
79.0,Merger by absorption,2019-07-31,1975-01-10,44,0,8128.657776072148,3.3413986426674535e-05,9.839427220909217e-05,1.3622619213123872,169666.66666666666,10983333.333333334,0.004473295957509589,2915333.3333333335,0.09562702862201239,Large,0.006007671879610504,H - Transportation and storage,0,0,0,0,1
80.0,Merger by absorption,2021-01-01,1978-07-06,43,0,16309.006211180124,1.1098869710694903e-05,1.646688461072769e-05,1.1244097348347257,97666.66666666667,1146000.0,0.014172821370764815,583000.0,0.35997878157261193,Large,0.003985255913276479,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0,0,0,0,1
81.0,Merger by absorption,2021-03-31,1985-07-05,36,0,4518.2651525516485,0.0002787669573643411,0.0011576961770623743,1.9190140845070425,252666.66666666666,1887000.0,0.018955910852713177,956333.3333333334,-0.008024467054263566,Large,0.02295300387596899,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0,0,0,0,1
82.0,Liquidation,2020-04-01,2014-10-06,6,4,4370.905587668593,3.690489310116817e-05,4.8983397937541136e-05,1.3036641556351933,366000.0,2938666.6666666665,0.003058188230108001,936666.6666666666,0.20109653956358828,Large,0.03025126735728455,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0,0,0,1,0
83.0,Merger by absorption,2022-06-30,2015-03-10,7,0,2290.2344639198727,0.0003563264089056754,0.0006433955491744437,1.788765254845657,50000.0,325333.3333333333,0.050491998807275625,312000.0,0.14044329589504026,Large,0.014909054765927842,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0,0,0,0,1
84.0,Bankruptcy,2020-02-05,1964-04-03,56,2,22335.971855760774,2.7563395810363838e-05,3.012307427489457e-05,1.048942823536162,0.0,340000.0,0.12450779650338636,246666.66666666666,0.3537433716595789,Large,0.0,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0,0,0,0,1
85.0,Bankruptcy,2020-03-09,1996-05-29,24,2,5111.718760575583,3.1831109745827793e-06,1.7076774450190372e-05,2.049539694266068,42333.333333333336,17833000.0,0.008209354426960578,16115000.0,0.3020459829775064,Large,0.0003363187136206431,"M - Professional, scientific and technical activities",0,0,0,1,0
86.0,Bankruptcy,2020-10-28,1960-05-20,60,2,-3118.9960274467317,3.061135876801945e-05,4.3009659379766135e-05,0.5495475343162175,6000.0,1230000.0,0.019785213917674984,-306000.0,0.03621258611706131,Large,0.0002605222022810166,C - Manufacturing,0,0,0,1,0
87.0,Bankruptcy,2020-10-15,2003-05-27,17,2,3075.786463298379,3.732114262100315e-05,5.649165330935533e-05,1.4921224441925016,99333.33333333333,603666.6666666666,0.024794669146133583,594000.0,0.36822666460044423,Large,0.007696678547445632,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0,0,0,1,0
88.0,Merger by absorption,2021-12-15,1974-11-06,47,0,1963.9484978540772,3.434065934065934e-07,7.132667617689015e-07,2.0576449228375044,53000.0,216000.0,0.008366633366633366,209000.0,0.025162337662337664,Large,0.004963786213786213,H - Transportation and storage,0,0,0,0,1
89.0,Bankruptcy,2021-11-22,1981-01-28,40,2,-7513.737687921202,1.2211949772319581e-05,1.4641409545868145e-05,0.8402680122425346,500.0,40666.666666666664,0.025113840209741962,-38333.333333333336,0.25948668414516357,Large,0.00010349109976542018,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0,0,0,1,0
90.0,Merger by absorption,2021-10-01,1969-10-27,52,0,3297.778338803333,0.0001903157894736842,0.0003108665749656121,1.4953732649743654,170333.33333333334,821000.0,0.0007655502392344498,463666.6666666667,0.07931100478468898,Large,0.01955980861244019,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0,0,0,0,1
