Mark,Name,Posttown,Last available year,Status,Legal form,Legal situation,Legal situation date,Date of incorporation,Date,Event,Turnover Last year th EUR Last avail. yr,P/L for the period aft. taxes th EUR Last avail. yr,P/L for the period aft. taxes th EUR Year - 1,P/L for the period aft. taxes th EUR Year - 2,P/L for the period aft. taxes th EUR Year - 3,P/L for the period aft. taxes th EUR Year - 5,P/L for the period aft. taxes th EUR Year - 4,Total assets th EUR Last avail. yr,Total assets th EUR Year - 1,Total assets th EUR Year - 2,Total assets th EUR Year - 3,Total assets th EUR Year - 5,Total assets th EUR Year - 4,Average number of employees Last avail. yr,Average number of employees Year - 1,Average number of employees Year - 2,Average number of employees Year - 3,Average number of employees Year - 5,Average number of employees Year - 4,Category of the company,Main activity
11.0,BRANTANO,EREMBODEGEM,2018.0,Provisional legal sit.,private,Bankruptcy,03/08/2020,29/12/1987,,,163150.0,1235.0,-4762.0,-3861.0,-65725.0,540.0,-143482.0,102738.0,83797.0,56611.0,47974.0,227640.0,113086.0,698.0,735.0,825.0,888.0,831.0,867.0,Very large,retail
12.0,BROUWERIJEN ALKEN - MAES - BRASSERIES ALKEN - MAES,MECHELEN,2018.0,Inactive,public,Merger by absorption,01/07/2019,04/06/1921,01/07/2019,Absorbed Company,154376.0,1123.0,5629.0,2081.0,3704.0,-782.0,-125166.0,308787.0,308407.0,306325.0,303239.0,313510.0,308654.0,449.0,429.0,416.0,435.0,474.0,458.0,Very large,manufacturing
13.0,SCARLET BELGIUM,BRUSSEL,2020.0,Inactive,public,Merger by absorption,01/10/2022,29/07/1992,29/09/2022,Absorbed Company,148505.0,13985.0,12408.0,6784.0,2146.0,1021.0,451.0,69319.0,57309.0,40406.0,33151.0,27908.0,33350.0,76.0,76.0,77.0,76.0,62.0,78.0,Very large,wholesale
14.0,ETS A MAUROY COBELMO,FRAMERIES,2020.0,Inactive,public,Merger by absorption,30/06/2021,26/11/1969,30/06/2021,Absorbed Company,141603.0,-336.0,-145.0,-159.0,58.0,1183.0,531.0,32951.0,31871.0,33575.0,35743.0,38986.0,35328.0,90.0,90.0,95.0,94.0,96.0,94.0,Very large,wholesale
15.0,UNIPER BELGIUM,LEUVEN,2019.0,Inactive,public,Conclusion of liquidation,18/12/2020,28/08/2002,,,140236.0,-4348.0,-2945.0,-596.0,732.0,-122.0,549.0,49064.0,68574.0,82427.0,84923.0,64758.0,54725.0,7.0,11.0,13.0,14.0,17.0,16.0,Very large,services
16.0,LOGITOYS,LA LOUVIERE,2019.0,Provisional legal sit.,public,Liquidation,13/10/2020,26/03/1992,,,127523.0,-8579.0,2753.0,-5988.0,5.0,34.0,29.0,28765.0,32340.0,48738.0,49706.0,51487.0,51136.0,123.0,115.0,114.0,109.0,99.0,106.0,Very large,retail
17.0,EOLY,HALLE,2021.0,Inactive,public,Merger by absorption,01/04/2022,26/04/2004,01/04/2022,Absorbed Company,120307.0,-726.0,47.0,85299.0,-75.0,-160.0,1113.0,62666.0,55004.0,69336.0,108302.0,85900.0,96807.0,,25.0,40.0,31.0,21.0,25.0,Very large,services
18.0,HEDIN AUTOMOTIVE SNL,SINT-NIKLAAS,2020.0,Inactive,public,Merger by absorption,01/04/2021,13/12/1973,01/04/2021,Absorbed Company,111159.0,2060.0,2898.0,1344.0,820.0,503.0,499.0,36059.0,31086.0,37602.0,34488.0,23588.0,26939.0,145.0,132.0,126.0,117.0,118.0,117.0,Very large,retail
19.0,JAVA FOODSERVICE,ROTSELAAR,2019.0,Inactive,private,Merger by absorption,26/09/2019,28/03/1984,26/09/2019,Absorbed Company,108542.0,1796.0,1850.0,927.0,934.0,679.0,324.0,62353.0,51599.0,48374.0,40090.0,40456.0,38487.0,211.0,232.0,237.0,244.0,244.0,248.0,Very large,retail
20.0,PRODEX NORTH EUROPEAN LOGISTICS & SERVICES,HASSELT,2020.0,Inactive,public,Merger by absorption,19/02/2021,29/12/1989,19/02/2021,Absorbed Company,103930.0,353.0,179.0,338.0,272.0,12.0,-4.0,35642.0,36668.0,36611.0,37623.0,30303.0,31806.0,105.0,94.0,88.0,81.0,82.0,76.0,Very large,wholesale
21.0,MOUTERIJ ALBERT,PUURS-SINT-AMANDS,2018.0,Inactive,public,Merger by absorption,01/07/2019,06/12/1954,01/07/2019,Absorbed Company,100231.0,7424.0,6800.0,53169.0,78737.0,141017.0,111044.0,77189.0,68872.0,121861.0,5640383.0,5999759.0,5662308.0,42.0,42.0,44.0,43.0,45.0,44.0,Very large,manufacturing
22.0,IMERYS KAOLIN BELGIUM,LIXHE,2019.0,Inactive,public,Merger by absorption,27/12/2019,14/09/2016,27/12/2019,Absorbed Company,90250.0,629.0,502.0,477.0,,,,23391.0,23649.0,24431.0,,,,10.0,10.0,7.0,,,,Large,wholesale
23.0,SWISSPORT BELGIUM,ZAVENTEM,2018.0,Provisional legal sit.,public,Bankruptcy,09/06/2020,18/03/2002,31/10/2012,Disposal of assets,84852.0,-3403.0,-4749.0,-6455.0,-5780.0,-10294.0,-6344.0,20459.0,26386.0,27568.0,20637.0,31227.0,25104.0,1023.0,1015.0,1053.0,1054.0,1054.0,1196.0,Very large,services
24.0,HEDIN AUTOMOTIVE BRASSCHAAT,BRASSCHAAT,2019.0,Inactive,public,Merger by absorption,18/11/2020,12/11/1948,18/11/2020,Absorbed Company,82456.0,493.0,845.0,-312.0,1104.0,791.0,779.0,9651.0,8101.0,14812.0,15455.0,14736.0,14406.0,30.0,27.0,25.0,22.0,20.0,20.0,Large,retail
25.0,WEX FLEET BELGIUM,BRUSSEL,2020.0,Inactive,private,Merger by absorption,29/12/2021,25/04/2019,29/12/2021,Absorbed Company,81302.0,30.0,,,,,,13703.0,,,,,,3.0,,,,,,Large,
26.0,BELGIAN NYLON INDUSTRIES,KRUISEM,2018.0,Provisional legal sit.,private,Bankruptcy,12/03/2020,03/12/1975,28/12/2006,Company absorbing an(other) company/ies,80434.0,-208.0,1751.0,8574.0,7917.0,-16126.0,-99784.0,44147.0,45553.0,44088.0,37773.0,43719.0,30459.0,165.0,163.0,165.0,164.0,149.0,153.0,Large,manufacturing
27.0,LASSIE-5,SINT-NIKLAAS,2019.0,Provisional legal sit.,private,Bankruptcy,19/02/2021,24/11/1950,27/06/2012,Disposal of assets,79941.0,-5462.0,-7126.0,914.0,-6224.0,815.0,310.0,22737.0,23541.0,23308.0,23521.0,25882.0,26754.0,402.0,388.0,383.0,375.0,382.0,371.0,Large,retail
28.0,VP OIL,ANTWERPEN,2019.0,Inactive,public,Merger by absorption,28/10/2022,03/09/1981,12/09/2022,Merger project,75404.0,-509.0,245.0,187.0,149.0,-535.0,444.0,15476.0,4342.0,4534.0,4218.0,3532.0,3183.0,57.0,21.0,20.0,16.0,13.0,13.0,Large,manufacturing
29.0,ZIEKENHUIS MAAS EN KEMPEN,MAASEIK,2020.0,Inactive,nonprofit,Conclusion of liquidation,29/09/2021,15/01/2001,30/10/2020,Transfer project,73680.0,337.0,665.0,-328.0,-931.0,-616.0,-1035.0,136668.0,139412.0,143391.0,151021.0,122267.0,148446.0,497.0,500.0,488.0,483.0,477.0,487.0,Large,services
30.0,SCINORTEG NV,DIEGEM,2018.0,Provisional legal sit.,private,Bankruptcy,10/11/2020,27/05/1983,29/07/2011,Company absorbing an(other) company/ies,73460.0,-2616.0,-4543.0,1456.0,-2164.0,558.0,652.0,77432.0,37439.0,44428.0,40763.0,50061.0,47341.0,323.0,363.0,369.0,376.0,463.0,429.0,Large,services
31.0,CERATEC ELECTROTECHNICS,BIZET,2019.0,Inactive,public,Merger by absorption,30/06/2020,22/10/1990,30/06/2020,Absorbed Company,73101.0,41.0,1920.0,1733.0,871.0,176.0,2130.0,39377.0,41362.0,43765.0,79302.0,60408.0,68471.0,422.0,404.0,351.0,311.0,330.0,303.0,Large,manufacturing
32.0,VM BUILDING SOLUTIONS BENELUX,VILVOORDE,2019.0,Inactive,public,Merger by absorption,29/05/2020,04/06/2015,29/05/2020,Absorbed Company,71709.0,657.0,393.0,555.0,410.0,,9.0,15981.0,14985.0,20352.0,14774.0,,12223.0,35.0,38.0,39.0,37.0,,17.0,Large,manufacturing
33.0,ALTRAN BELGIUM,BRUXELLES,2020.0,Inactive,public,Merger by absorption,31/03/2022,18/12/1989,31/03/2022,Absorbed Company,69825.0,3254.0,4305.0,-1941.0,-1296.0,410.0,285.0,34564.0,39510.0,27055.0,38480.0,42809.0,38307.0,606.0,606.0,623.0,627.0,626.0,614.0,Large,services
34.0,CIBUS,SINT-ELOOIS-VIJVE,2019.0,Inactive,public,Merger by absorption,24/07/2020,01/06/2012,24/07/2020,Absorbed Company,68839.0,681.0,467.0,510.0,49.0,252.0,21.0,17158.0,15756.0,15036.0,19308.0,18485.0,19018.0,22.0,24.0,25.0,22.0,23.0,23.0,Large,manufacturing
35.0,BNP PARIBAS REAL ESTATE PROPERTY MANAGEMENT BELGIUM,BRUXELLES,2020.0,Inactive,public,Merger by absorption,30/07/2021,24/04/1989,30/07/2021,Absorbed Company,68562.0,1463.0,536.0,675.0,649.0,646.0,887.0,58682.0,44991.0,37553.0,43010.0,40100.0,40787.0,63.0,53.0,47.0,43.0,45.0,45.0,Large,services
36.0,CONNECTSYSTEMS,KAMPENHOUT,2021.0,Inactive,public,Merger by absorption,28/09/2022,30/10/1987,28/09/2022,Absorbed Company,65772.0,2455.0,641.0,5543.0,1290.0,-2.0,818.0,37932.0,41751.0,45127.0,70706.0,58234.0,63967.0,127.0,128.0,127.0,126.0,129.0,124.0,Large,manufacturing
37.0,NUTRI-AD INTERNATIONAL,DENDERMONDE,2019.0,Inactive,public,Merger by absorption,02/07/2020,13/12/1994,02/07/2020,Absorbed Company,64614.0,7824.0,-8474.0,4484.0,6760.0,1413.0,2729.0,34065.0,29641.0,31615.0,35149.0,33798.0,33883.0,43.0,42.0,43.0,42.0,43.0,43.0,Large,wholesale
38.0,WCDI,PAAL,2019.0,Inactive,private,Merger by absorption,01/07/2020,20/12/2012,30/06/2020,Absorbed Company,64173.0,539.0,889.0,3121.0,2747.0,1.0,447.0,11195.0,11762.0,13297.0,7261.0,36.0,1503.0,2284.0,1649.0,1470.0,812.0,,223.0,Very large,services
39.0,HEEREN FORUM,SINT-DENIJS-WESTREM,2018.0,Inactive,public,Merger by absorption,30/08/2022,23/11/1983,30/08/2022,Absorbed Company,61692.0,8343.0,3728.0,5220.0,2946.0,2024.0,4230.0,83524.0,75031.0,68853.0,72554.0,70528.0,71169.0,11.0,10.0,9.0,10.0,11.0,11.0,Large,wholesale
40.0,MITSUBISHI CHEMICAL ADVANCED MATERIALS BELGIUM,TIELT,2020.0,Inactive,public,Merger by absorption,01/10/2021,20/03/1989,01/10/2021,Absorbed Company,60848.0,44.0,2376.0,1847.0,2107.0,3860.0,1475.0,24002.0,26396.0,26326.0,28256.0,26718.0,27636.0,181.0,173.0,163.0,159.0,179.0,155.0,Large,manufacturing
41.0,H MAHY,AALST,2020.0,Inactive,public,Merger by absorption,29/09/2021,04/01/1989,29/09/2021,Absorbed Company,60557.0,259.0,576.0,834.0,967.0,715.0,822.0,22056.0,29112.0,27236.0,21998.0,19698.0,28927.0,23.0,22.0,24.0,27.0,31.0,27.0,Large,retail
42.0,WIBRA BELGIE,TEMSE,2018.0,Provisional legal sit.,private,Bankruptcy,08/10/2020,25/08/1980,,,57717.0,163.0,7.0,3866.0,9.0,427.0,80.0,15305.0,16710.0,16262.0,18606.0,15058.0,16466.0,407.0,438.0,467.0,480.0,490.0,473.0,Large,retail
43.0,RENAULT ANTWERPEN,ANTWERPEN,2021.0,Inactive,public,Merger by absorption,28/09/2022,29/11/2010,28/09/2022,Absorbed Company,55832.0,403.0,974.0,1034.0,536.0,501.0,586.0,9249.0,8292.0,16939.0,21153.0,14602.0,21746.0,38.0,43.0,45.0,49.0,47.0,49.0,Large,retail
44.0,INDEPENDENT IODINE EUROPE,STABROEK,2021.0,Inactive,public,Merger by absorption,29/07/2022,21/09/2000,29/07/2022,Absorbed Company,55049.0,530.0,1207.0,71.0,346.0,555.0,116.0,22322.0,17299.0,17929.0,15400.0,15036.0,12064.0,3.0,3.0,3.0,3.0,4.0,4.0,Large,wholesale
45.0,NEXTEL,WOMMELGEM,2019.0,Inactive,public,Merger by absorption,31/12/2019,23/12/1983,31/12/2019,Absorbed Company,54885.0,-2056.0,40.0,35.0,275.0,10.0,270.0,28946.0,18214.0,20259.0,18308.0,18132.0,17838.0,297.0,286.0,270.0,243.0,113.0,241.0,Large,services
46.0,KALSCHEUER EUPEN A.G.,EUPEN,2018.0,Inactive,public,Merger by absorption,14/06/2019,28/06/1948,14/06/2019,Absorbed Company,52317.0,250.0,697.0,459.0,299.0,296.0,226.0,21913.0,12608.0,10011.0,10102.0,8251.0,9277.0,44.0,43.0,41.0,39.0,43.0,40.0,Large,retail
47.0,LOUYET MONS,CUESMES,2019.0,Inactive,public,Merger by absorption,23/12/2021,23/02/1995,23/12/2021,Absorbed Company,52181.0,347.0,443.0,163.0,859.0,248.0,683.0,23441.0,16743.0,17845.0,12260.0,9622.0,10625.0,59.0,56.0,51.0,38.0,32.0,32.0,Large,retail
48.0,CARAT BELGIUM,BRUXELLES,2019.0,Inactive,public,Merger by absorption,24/08/2020,06/04/1990,24/08/2020,Absorbed Company,48471.0,966.0,79.0,-758.0,-437.0,376.0,189.0,15274.0,30032.0,38367.0,38753.0,37800.0,39288.0,8.0,11.0,11.0,12.0,13.0,12.0,Large,services
49.0,CITROPOL LIEGE,AWANS,2019.0,Inactive,public,Merger by absorption,24/07/2020,16/04/2015,24/07/2020,Absorbed Company,48412.0,357.0,125.0,388.0,71.0,,-138.0,26381.0,15886.0,17689.0,11289.0,,8128.0,19.0,17.0,17.0,14.0,,7.0,Large,retail
50.0,REMY AUTOMOTIVE EUROPE,HERENTALS,2018.0,Provisional legal sit.,private,Bankruptcy,01/03/2022,14/07/1998,,,48270.0,-5077.0,-1488.0,1645.0,-955.0,1250.0,1400.0,24486.0,34358.0,30207.0,22857.0,20223.0,20315.0,36.0,39.0,54.0,59.0,52.0,56.0,Large,manufacturing
51.0,CHIRAG DIAMONDS,ANTWERPEN,2021.0,Provisional legal sit.,private,Bankruptcy,15/09/2022,17/10/1991,,,48196.0,411.0,108.0,814.0,811.0,220.0,265.0,26484.0,17014.0,17112.0,18766.0,19539.0,18061.0,1.0,1.0,1.0,1.0,1.0,1.0,Large,manufacturing
52.0,DFDS LOGISTICS,GENT,2021.0,Inactive,public,Merger by absorption,15/12/2021,04/08/1953,15/12/2021,Absorbed Company,47812.0,665.0,-629.0,-1125.0,1494.0,1656.0,2526.0,33063.0,29295.0,35662.0,33995.0,27386.0,31622.0,94.0,87.0,92.0,89.0,78.0,84.0,Large,services
53.0,EB . LEASE,GENT,2019.0,Inactive,public,Merger by absorption,18/05/2020,26/08/1983,18/05/2020,Absorbed Company,47594.0,7025.0,7538.0,5898.0,5077.0,5027.0,5179.0,715027.0,625257.0,567524.0,508579.0,441442.0,478000.0,14.0,14.0,14.0,14.0,15.0,15.0,Very large,services
54.0,DANONE HOMBOURG RECOLTE,ROTSELAAR,2018.0,Inactive,public,Merger by absorption,07/06/2019,12/04/1996,07/06/2019,Absorbed Company,46662.0,66.0,29.0,33.0,31.0,32.0,36.0,4601.0,7089.0,5488.0,3705.0,9051.0,3937.0,5.0,5.0,5.0,4.0,5.0,5.0,Large,manufacturing
55.0,SD WORX PEOPLE SOLUTIONS,ANTWERPEN,2021.0,Inactive,public,Merger by absorption,24/12/2021,16/12/1981,24/12/2021,Absorbed Company,46462.0,831423.0,17061.0,57590.0,2708.0,5682.0,-5273.0,569816.0,382527.0,351744.0,311985.0,215891.0,314759.0,328.0,279.0,277.0,281.0,88.0,194.0,Very large,services
56.0,ARCELORMITTAL STEEL COAT EUROPE,ALLEUR,2020.0,Inactive,public,Merger by absorption,31/12/2020,14/03/2005,31/12/2020,Absorbed Company,46109.0,250.0,342.0,713.0,1289.0,-173.0,-111.0,15137.0,15956.0,12953.0,14057.0,13712.0,12413.0,38.0,39.0,42.0,42.0,48.0,45.0,Large,services
57.0,EPCO,BLANDAIN,2020.0,Inactive,public,Merger by absorption,27/07/2021,26/04/2008,27/07/2021,Absorbed Company,45921.0,7038.0,8653.0,8582.0,6636.0,4063.0,6530.0,40071.0,50402.0,41839.0,31749.0,12615.0,22297.0,47.0,47.0,45.0,44.0,39.0,38.0,Large,manufacturing
58.0,SOCIETE DE TRANSPORT EN COMMUN DE LIEGE - VERVIERS,GRIVEGNEE,2018.0,Inactive,public,Merger by absorption,01/01/2019,04/12/1990,11/06/2018,Absorbed Company,44835.0,397.0,2485.0,2116.0,218.0,-406.0,3359.0,66393.0,65168.0,61561.0,60730.0,60079.0,58947.0,1762.0,1782.0,1772.0,1762.0,1824.0,1783.0,Very large,services
59.0,VANDEN AVENNE LIVE STOCK TRADE,OOIGEM,2020.0,Inactive,public,Conclusion of liquidation,29/12/2021,14/02/2007,,,44682.0,311.0,881.0,-455.0,-412.0,51.0,-195.0,2990.0,5506.0,2268.0,2568.0,4098.0,3452.0,,,4.0,11.0,15.0,14.0,Large,manufacturing
60.0,Exane Asset Management Luxembourg,Luxembourg,2018.0,Inactive,public,Liquidation,24/05/2019,09/05/2014,,,44475.0,3923.0,5970.0,,,,,6651.0,19719.0,,,,,2.0,,,,,,Large,
61.0,BASF AGRICULTURAL SOLUTIONS BELGIUM,ZWIJNAARDE,2018.0,Inactive,public,Merger by absorption,28/06/2019,08/12/2017,28/06/2019,Absorbed Company,44251.0,930.0,,,,,,85823.0,,,,,,345.0,,,,,,Large,
62.0,YARA,ZAVENTEM,2018.0,Inactive,public,Legal dissolution by expiry,22/12/2019,20/03/1989,05/03/2004,Company partially divided to form an(other) company/ies,42138.0,692.0,5190.0,15948.0,18155.0,37281.0,24611.0,110649.0,178018.0,1616235.0,1615081.0,1572877.0,1594844.0,119.0,120.0,112.0,109.0,98.0,108.0,Large,services
63.0,VIZEUM BELGIUM,BRUXELLES,2019.0,Inactive,public,Merger by absorption,24/08/2020,03/12/2003,24/08/2020,Absorbed Company,40655.0,-23.0,82.0,94.0,340.0,315.0,228.0,17393.0,20086.0,21072.0,17538.0,19368.0,20566.0,11.0,10.0,8.0,8.0,7.0,7.0,Large,services
64.0,HERMOO BELGIUM,SINT-TRUIDEN,2020.0,Inactive,private,Merger by absorption,29/06/2021,29/10/1976,29/06/2021,Absorbed Company,40313.0,3060.0,2794.0,2800.0,3213.0,2884.0,2707.0,33627.0,29715.0,31272.0,26603.0,23372.0,26066.0,1.0,32.0,33.0,35.0,34.0,34.0,Large,wholesale
65.0,CODITEL BRABANT,BRUXELLES,2018.0,Inactive,private,Merger by absorption,30/07/2019,26/07/1965,30/07/2019,Absorbed Company,40108.0,-8808.0,-32645.0,-12230.0,1966.0,3262.0,3155.0,153439.0,159842.0,296942.0,270498.0,218252.0,239543.0,49.0,57.0,64.0,60.0,56.0,58.0,Large,services
66.0,HENRARD,NAMUR,2018.0,Inactive,public,Merger by absorption,21/01/2019,01/02/1979,21/01/2019,Absorbed Company,39247.0,2029.0,4145.0,3291.0,2061.0,1771.0,1506.0,46505.0,45150.0,37418.0,25699.0,17357.0,18808.0,188.0,196.0,189.0,178.0,161.0,172.0,Large,retail
67.0,PERMEKE MOTORS,ANTWERPEN,2020.0,Inactive,public,Merger by absorption,31/12/2021,20/01/1949,31/12/2021,Absorbed Company,38897.0,-34.0,-6.0,2.0,23.0,1.0,41.0,9527.0,8599.0,7779.0,10276.0,4872.0,4960.0,20.0,23.0,23.0,22.0,21.0,23.0,Large,retail
68.0,PALL,HOEGAARDEN,2018.0,Inactive,private,Merger by absorption,31/12/2018,30/06/1997,31/12/2018,Absorbed Company,38712.0,2172.0,834.0,1683.0,-66.0,1475.0,1069.0,9294.0,12484.0,13088.0,9109.0,25626.0,25030.0,37.0,36.0,36.0,36.0,35.0,37.0,Large,wholesale
69.0,WAGRO,ZELE,2021.0,Inactive,private,Merger by absorption,31/01/2022,08/04/2004,31/01/2022,Absorbed Company,38553.0,871.0,2373.0,2924.0,953.0,93.0,379.0,16989.0,19467.0,16156.0,11678.0,7741.0,10513.0,164.0,178.0,179.0,165.0,116.0,144.0,Large,services
70.0,STASSEN,AUBEL,2018.0,Inactive,public,Merger by absorption,01/07/2019,20/07/1993,01/07/2019,Absorbed Company,38181.0,796.0,1714.0,2079.0,1049.0,-1576.0,1861.0,20563.0,26442.0,26716.0,26531.0,29108.0,28639.0,109.0,109.0,109.0,113.0,108.0,117.0,Large,wholesale
71.0,SERVIHOME,BRUXELLES,2021.0,Inactive,private,Merger by absorption,30/09/2022,22/12/1981,30/09/2022,Absorbed Company,38153.0,1024.0,530.0,534.0,547.0,524.0,424.0,6234.0,6736.0,6749.0,7126.0,6022.0,6206.0,1285.0,1262.0,1236.0,1150.0,982.0,1048.0,Very large,services
72.0,GEOSEA MAINTENANCE,ZWIJNDRECHT,2018.0,Inactive,public,Merger by absorption,01/07/2019,21/04/2009,01/07/2019,Absorbed Company,37646.0,1780.0,715.0,212.0,969.0,309.0,472.0,28932.0,21981.0,12353.0,14535.0,8108.0,4222.0,5.0,4.0,4.0,3.0,1.0,4.0,Large,services
73.0,HERTEL SERVICES,WIJNEGEM,2020.0,Inactive,public,Merger by absorption,01/09/2021,12/04/1967,01/09/2021,Absorbed Company,36838.0,841.0,1283.0,1090.0,1288.0,1215.0,2150.0,43068.0,43320.0,45489.0,42039.0,37751.0,38309.0,448.0,454.0,471.0,473.0,499.0,472.0,Large,services
74.0,PROFELCO OVERPELT,PELT,2020.0,Inactive,public,Merger by absorption,31/07/2021,02/12/1988,31/07/2021,Absorbed Company,36059.0,872.0,668.0,-83.0,130.0,1250.0,1185.0,29860.0,25069.0,24308.0,26900.0,24458.0,27941.0,251.0,250.0,252.0,266.0,212.0,231.0,Large,manufacturing
75.0,ALPHAMIN,WAVRE,2019.0,Inactive,public,Merger by absorption,02/12/2019,08/12/1986,02/12/2019,Absorbed Company,35398.0,1618.0,1659.0,1304.0,981.0,4386.0,753.0,17807.0,17369.0,13702.0,12434.0,13068.0,12348.0,12.0,11.0,11.0,12.0,12.0,11.0,Large,wholesale
76.0,TRACE,CHARLEROI,2018.0,Inactive,public,Merger by absorption,29/03/2019,28/03/2003,29/03/2019,Absorbed Company,35075.0,-249.0,1770.0,3071.0,-388.0,-1545.0,-4781.0,8042.0,10178.0,16500.0,12947.0,19337.0,17458.0,787.0,885.0,1444.0,1590.0,1501.0,1655.0,Large,services
77.0,"MAXI TOYS BELGIUM, IN VEREFFENING",LA LOUVIERE,2019.0,Provisional legal sit.,private,Liquidation,13/10/2020,14/07/1981,24/12/2002,Company absorbing an(other) company/ies,34682.0,-339.0,231.0,1116.0,650.0,1582.0,736.0,12577.0,13001.0,27415.0,24234.0,23917.0,24513.0,157.0,174.0,170.0,183.0,180.0,186.0,Large,retail
78.0,PROFALU,PELT,2020.0,Inactive,public,Merger by absorption,31/07/2021,22/12/1989,31/07/2021,Absorbed Company,34166.0,894.0,390.0,-474.0,1029.0,913.0,617.0,24806.0,22765.0,23077.0,22942.0,20778.0,22080.0,55.0,58.0,56.0,57.0,58.0,55.0,Large,manufacturing
79.0,SAN-MAZUIN MARCHE-EN-FAMENNE,NANINNE,2021.0,Inactive,private,Merger by absorption,20/05/2022,14/03/1988,20/05/2022,Absorbed Company,33351.0,467.0,210.0,120.0,7.0,132.0,183.0,6775.0,10826.0,12043.0,8850.0,7949.0,9358.0,31.0,30.0,28.0,25.0,24.0,28.0,Large,retail
